fp_pwr,rx_pwr,pwr_diff,rxpacc,label,frame_len
-73.4464904791,-94.0931551493,-20.6466646702,52,1,0
-70.213481938,-93.7455340868,-23.5320521488,52,1,0
-86.3089491324,-100.996557939,-14.6876088068,47,1,0
-87.2323904614,-104.189725485,-16.9573350233,48,1,0
-83.777595575,-101.358522381,-17.5809268061,49,1,0
-89.1248731252,-97.7994574575,-8.67458433225,46,1,0
-90.1049690243,-97.7266042157,-7.62163519138,51,1,0
-78.0242311037,-99.7730882766,-21.7488571729,50,1,0
-78.1888904018,-100.42365431,-22.2347639084,44,1,0
-84.6642936555,-99.9450917119,-15.2807980564,51,1,0
-78.557071358,-100.996557939,-22.4394865812,47,1,0
-82.2010346302,-97.7994574575,-15.5984228273,46,1,0
-81.5378580633,-101.874667653,-20.3368095899,52,1,0
-81.3777947444,-103.433954267,-22.0561595225,44,1,0
-84.828558705,-95.8540677399,-11.0255090349,52,1,0
-86.211725509,-100.113755063,-13.9020295536,52,1,0
-85.2567447031,-99.4185129374,-14.1617682344,48,1,0
-90.7182657799,-100.618851056,-9.90058527606,45,1,0
-86.2519315484,-100.809757414,-14.5578258657,46,1,0
-83.4217659682,-99.0488448236,-15.6270788553,46,1,0
-88.0890034934,-103.234269849,-15.1452663553,43,1,0
-78.8275555149,-99.2356453486,-20.4080898338,47,1,0
-86.6643206915,-98.6957043458,-12.0313836543,51,1,0
-85.8792137544,-100.113755063,-14.2345413083,52,1,0
-89.8508539778,-100.618851056,-10.7679970782,45,1,0
-80.3728785504,-100.618851056,-20.2459725056,45,1,0
-80.5760305156,-98.8579384654,-18.2819079498,45,1,0
-88.9815878044,-98.1691255714,-9.18753776693,48,1,0
-87.1692733659,-96.5873098339,-9.41803646794,49,1,0
-79.1691553618,-97.103455106,-17.9342997442,52,1,0
-72.9896037913,-92.8674243728,-19.8778205815,47,1,0
-72.3981775359,-95.8540677399,-23.455890204,52,1,0
-82.0865922991,-97.9862579826,-15.8996656835,47,1,0
-86.3132263172,-104.544300824,-18.2310745067,50,1,0
-80.8089424941,-98.6957043458,-17.8867618517,51,1,0
-80.2477712964,-95.0018757295,-14.7541044331,50,1,0
-86.2767228827,-98.3482224244,-12.0714995417,49,1,0
-79.0185884181,-100.809757414,-21.791168996,46,1,0
-89.839264254,-103.433954267,-13.5946900129,44,1,0
-83.1097791087,-104.006857896,-20.8970787872,47,1,0
-86.4145752964,-104.88496761,-18.4703923134,52,1,0
-73.186696684,-96.76278832,-23.576091636,50,1,0
-74.7120454454,-97.2000254413,-22.4879799958,48,1,0
-75.1022980027,-93.7524883634,-18.6501903606,50,1,0
-73.7710843079,-93.5891377724,-19.8180534644,53,1,0
-85.3260164443,-103.433954267,-18.1079378226,44,1,0
-78.5753117494,-100.113755063,-21.5384433133,52,1,0
-87.370368801,-104.189725485,-16.8193566836,48,1,0
-94.1284476834,-101.179425528,-7.05097784463,48,1,0
-86.74251879,-100.113755063,-13.3712362726,52,1,0
-81.2996178888,-101.874667653,-20.5750497644,52,1,0
-82.6765098677,-103.433954267,-20.7574443991,44,1,0
-92.7757162817,-101.874667653,-9.09895137148,52,1,0
-83.5457040511,-101.179425528,-17.6337214769,48,1,0
-85.1367664733,-98.5237009106,-13.3869344373,50,1,0
-85.7639632322,-100.996557939,-15.232594707,47,1,0
